,Open,High,Low,Close,Volume
2025-02-28 20:00:00,594.18,594.18,594.18,594.18,3384921
2025-02-28 19:30:00,594.11,594.35,593.92,594.35,95326
2025-02-28 19:00:00,593.88,594.14,593.51,594.12,154352
2025-02-28 18:30:00,594.18,594.18,584.24,593.83,3439707
2025-02-28 18:00:00,593.755,593.89,593.75,593.81,69471
2025-02-28 17:30:00,593.78,594.18,593.52,593.7502,990993
2025-02-28 17:00:00,593.4,594.18,558.0725,593.78,188040
2025-02-28 16:30:00,593.42,594.18,593.32,593.43,199254
2025-02-28 16:00:00,594.05,596.875,584.785,593.42,22678435
2025-02-28 15:30:00,589.63,594.72,587.93,594.07,20419363
2025-02-28 15:00:00,588.09,589.68,587.7,589.615,4991446
2025-02-28 14:30:00,585.6699,588.25,585.25,588.1,3731695
2025-02-28 14:00:00,583.6,585.83,583.531,585.67,2868094
2025-02-28 13:30:00,584.69,586.52,583.58,583.6025,3656783
2025-02-28 13:00:00,583.69,584.79,582.44,584.72,6277798
2025-02-28 12:30:00,587.075,587.18,583.6,583.6866,4642612
2025-02-28 12:00:00,587.3647,588.3,586.48,587.025,1944506
2025-02-28 11:30:00,586.07,588.34,585.83,587.34,2124508
2025-02-28 11:00:00,588.87,589.03,586.01,586.06,2879052
2025-02-28 10:30:00,588.36,588.8998,587.09,588.86,3342006
2025-02-28 10:00:00,586.01,588.38,585.225,588.36,5169608
2025-02-28 09:30:00,585.56,586.33,583.27,586.03,8540026
2025-02-28 09:00:00,586.24,586.73,585.401,585.56,326061
2025-02-28 08:30:00,585.97,587.52,585.05,586.22,290364
2025-02-28 08:00:00,586.8025,587.5988,584.65,586.055,309397
2025-02-28 07:30:00,586.7,586.76,585.99,586.67,130952
2025-02-28 07:00:00,587.24,587.26,586.11,586.74,204305
2025-02-28 06:30:00,587.42,587.61,587.0,587.22,59105
2025-02-28 06:00:00,587.13,587.44,587.13,587.4,10246
2025-02-28 05:30:00,586.91,587.5,586.83,587.05,18648
2025-02-28 05:00:00,587.0,587.18,586.75,586.89,11028
2025-02-28 04:30:00,587.2,587.23,586.69,586.9,20425
2025-02-28 04:00:00,586.1,587.32,586.1,587.2,27400
2025-02-27 20:00:00,585.05,585.05,585.05,585.05,1625705
2025-02-27 19:30:00,585.56,585.73,584.88,584.88,44740
2025-02-27 19:00:00,586.045,586.26,585.39,585.56,35288
2025-02-27 18:30:00,585.05,586.21,585.05,586.06,1776279
2025-02-27 18:00:00,585.55,597.08,585.55,585.82,106469
2025-02-27 17:30:00,585.38,585.59,585.05,585.51,82290
2025-02-27 17:00:00,585.6285,585.66,549.6558,585.4,658853
2025-02-27 16:30:00,585.7,586.1,585.05,585.55,199407
2025-02-27 16:00:00,585.045,594.2447,584.71,585.73,16398806
2025-02-27 15:30:00,586.363,587.57,584.65,585.04,15219481
2025-02-27 15:00:00,589.3,589.35,586.24,586.31,6566014
2025-02-27 14:30:00,590.782,590.8,588.34,589.28,5034163
2025-02-27 14:00:00,593.76,593.84,590.68,590.7697,2592714
2025-02-27 13:30:00,594.63,594.95,593.641,593.71,1254520
2025-02-27 13:00:00,593.44,595.16,593.305,594.59,2239049
2025-02-27 12:30:00,593.96,594.475,592.37,593.42,1830736
2025-02-27 12:00:00,592.49,593.99,591.4,593.95,2462927
2025-02-27 11:30:00,594.13,594.9589,592.28,592.45,2312216
2025-02-27 11:00:00,593.44,596.24,593.22,594.1213,2470161
2025-02-27 10:30:00,595.45,595.72,593.29,593.432,2724297
2025-02-27 10:00:00,592.43,596.52,590.52,595.45,6431577
2025-02-27 09:30:00,596.85,598.02,592.14,592.435,5897797
2025-02-27 09:00:00,595.85,597.3,595.6,596.88,457207
2025-02-27 08:30:00,597.7,598.25,593.935,595.88,1430267
2025-02-27 08:00:00,598.5,598.68,594.5045,597.77,248546
2025-02-27 07:30:00,598.35,598.68,597.87,597.97,174657
2025-02-27 07:00:00,598.33,598.53,598.1,598.3,336412
2025-02-27 06:30:00,598.03,598.37,597.75,598.37,24453
2025-02-27 06:00:00,597.82,598.22,597.78,598.02,20980
2025-02-27 05:30:00,597.72,597.85,597.45,597.85,6639
2025-02-27 05:00:00,597.86,598.16,597.54,597.84,10437
2025-02-27 04:30:00,597.65,597.99,597.58,597.8,14379
2025-02-27 04:00:00,596.77,597.78,596.77,597.78,34835
2025-02-26 20:00:00,594.54,594.54,594.54,594.54,751074
2025-02-26 19:30:00,594.2199,594.32,593.61,593.68,59577
2025-02-26 19:00:00,595.075,595.4,593.87,594.19,29233
2025-02-26 18:30:00,594.54,595.17,594.47,595.07,773243
2025-02-26 18:00:00,595.21,595.575,593.85,594.54,123580
2025-02-26 17:30:00,595.95,596.09,595.1,595.21,56466
2025-02-26 17:00:00,596.31,596.7463,555.0083,595.95,256714
2025-02-26 16:30:00,594.49,596.38,593.83,596.31,413353
2025-02-26 16:00:00,594.44,600.01,590.29,594.5,5926950
2025-02-26 15:30:00,593.59,595.29,593.14,594.43,6328751
2025-02-26 15:00:00,592.8,593.98,592.46,593.59,2315881
2025-02-26 14:30:00,593.35,594.64,592.63,592.76,2233529
2025-02-26 14:00:00,592.55,593.8897,591.8556,593.389,3105429
2025-02-26 13:30:00,593.865,594.59,592.12,592.58,2895572
2025-02-26 13:00:00,595.59,595.86,593.85,593.925,2590483
2025-02-26 12:30:00,598.65,599.01,595.1,595.605,2524123
2025-02-26 12:00:00,598.06,599.3791,597.68,598.6,1686126
2025-02-26 11:30:00,598.68,599.43,597.82,598.01,1753016
2025-02-26 11:00:00,598.87,599.58,598.65,598.65,1929898
2025-02-26 10:30:00,597.975,599.21,597.95,598.85,1721420
2025-02-26 10:00:00,597.71,599.28,597.2411,597.94,3085649
2025-02-26 09:30:00,595.93,597.8,595.1,597.71,4704228
2025-02-26 09:00:00,596.47,596.9,595.72,595.91,226508
2025-02-26 08:30:00,597.49,597.6,594.24,596.5,188266
2025-02-26 08:00:00,596.7422,597.505,594.24,597.45,120457
2025-02-26 07:30:00,596.92,597.19,596.29,596.79,184770
2025-02-26 07:00:00,596.8,597.17,596.56,596.91,189258
2025-02-26 06:30:00,597.21,597.5,596.53,596.84,60595
2025-02-26 06:00:00,597.29,597.52,597.06,597.15,23986
2025-02-26 05:30:00,597.08,597.35,596.9,597.28,6546
2025-02-26 05:00:00,597.04,597.39,596.85,597.03,5961
2025-02-26 04:30:00,597.21,597.25,596.92,596.99,14767
2025-02-26 04:00:00,596.96,597.45,596.47,597.21,49317
2025-02-25 20:00:00,594.24,596.0,594.24,596.0,1443709
2025-02-25 19:30:00,595.76,595.99,595.58,595.97,19285
2025-02-25 19:00:00,595.68,595.879,595.41,595.77,21487
