,Open,High,Low,Close,Volume
2025-02-28,602.02,603.03,582.44,594.18,315266033
2025-02-21,610.88,613.23,599.47,599.94,170833922
2025-02-14,604.03,610.99,598.51,609.7,169013275
2025-02-07,592.67,608.13,590.49,600.77,216528231
2025-01-31,594.81,609.96,594.64,601.82,257924602
2025-01-24,600.67,610.78,598.67,607.97,166485621
2025-01-17,575.77,599.36,575.35,597.58,254621089
2025-01-10,596.27,599.7,578.55,580.49,228482212
2025-01-03,587.89,592.6,580.5,591.95,201723845
2024-12-27,590.89,602.48,587.661,595.01,197104126
2024-12-20,606.0,607.7795,580.91,591.15,419353579
2024-12-13,607.69,608.435,602.13,604.21,168103518
2024-12-06,602.97,609.07,602.341,607.81,161443911
2024-11-29,599.52,603.35,595.2,602.55,152158584
2024-11-22,586.22,596.15,584.03,595.51,221505378
2024-11-15,599.81,600.17,583.86,585.75,242874416
2024-11-08,571.18,599.64,567.89,598.19,239555370
2024-11-01,582.58,583.32,568.44,571.04,220360188
2024-10-25,583.85,584.85,574.415,579.04,202185455
2024-10-18,581.22,586.12,578.545,584.59,192956802
2024-10-11,571.3,580.33,566.63,579.58,211681681
2024-10-04,570.42,574.38,565.27,572.98,258273676
2024-09-27,569.34,574.71,567.6,571.47,219788113
2024-09-20,561.74,572.88,559.9,568.25,297840609
2024-09-13,544.65,563.03,539.96,562.01,243292245
2024-09-06,560.47,560.81,539.44,540.36,219590659
2024-08-30,563.18,564.2,555.04,563.68,210963817
2024-08-23,554.73,563.18,553.86,562.13,221129506
2024-08-16,534.21,555.02,530.95,554.31,242599611
2024-08-09,511.64,534.51,510.27,532.99,410688190
2024-08-02,546.02,554.8688,528.6,532.9,311250646
2024-07-26,553.0,556.735,537.45,544.44,267223623
2024-07-19,562.03,565.16,547.91,548.99,255957982
2024-07-12,555.44,563.67,554.19,559.99,208264385
2024-07-05,545.63,555.05,542.52,554.64,155010902
2024-06-28,544.33,550.28,542.44,544.22,233538652
2024-06-21,542.08,550.12,541.6072,544.51,232057959
2024-06-14,533.18,544.12,532.05,542.78,220214812
2024-06-07,529.02,536.89,522.6,534.01,203111783
2024-05-31,530.27,530.51,518.36,527.37,218714190
2024-05-24,529.57,533.07,524.72,529.44,218093448
2024-05-17,522.56,531.5218,519.74,529.45,263189537
2024-05-10,513.75,522.635,513.3,520.84,237750055
2024-05-03,510.09,512.55,499.55,511.29,339448742
2024-04-26,497.83,509.88,495.43,508.26,321951230
2024-04-19,515.13,515.3,493.86,495.16,418256444
2024-04-12,519.15,520.75,509.08,510.85,360446531
2024-04-05,523.83,524.38,512.755,518.43,361873253
2024-03-28,519.8,524.61,518.4,523.07,293270515
2024-03-22,514.0,524.11,511.12,521.21,358570122
2024-03-15,510.48,517.38,508.122,509.83,398284000
2024-03-08,512.03,518.2201,504.91,511.72,336221867
2024-03-01,508.3,513.29,504.75,512.85,316517539
2024-02-23,497.72,510.13,493.56,507.85,269064864
2024-02-16,501.17,503.5,490.715,499.51,375205197
2024-02-09,493.695,501.65,490.23,501.2,318555221
2024-02-02,487.73,496.05,482.86,494.35,437072028
2024-01-26,484.01,489.12,482.78,487.41,355178832
2024-01-19,475.26,482.72,469.87,482.43,356549472
2024-01-12,468.43,478.6,468.3,476.68,344088296
2024-01-05,472.16,473.67,466.43,467.92,396379586
2023-12-29,474.07,477.55,473.3,475.31,318702613
2023-12-22,470.98,475.895,467.82,473.65,379149050
2023-12-15,459.69,473.73,459.47,469.33,487187546
2023-12-08,455.6,460.745,454.31,460.2,360115323
2023-12-01,454.65,459.65,453.34,459.1,344703088
2023-11-24,450.53,456.38,450.52,455.3,208484220
2023-11-17,439.23,451.42,438.42,450.79,376600275
2023-11-10,435.47,440.93,433.4,440.61,366566272
2023-11-03,413.56,436.29,412.22,434.69,459402624
2023-10-27,419.61,424.82,409.21,410.68,487346964
2023-10-20,433.82,438.14,421.08,421.19,489560531
2023-10-13,427.58,437.335,427.0101,431.5,397788728
2023-10-06,426.62,431.125,420.18,429.54,458428227
2023-09-29,429.17,432.27,422.29,427.48,479118444
2023-09-22,443.05,444.97,429.99,430.42,409754973
2023-09-15,448.24,451.08,442.92,443.37,383224485
2023-09-08,450.73,451.06,442.75,445.52,258348585
2023-09-01,442.24,453.67,439.9728,451.19,338759881
2023-08-25,437.55,445.22,435.0,439.97,393065214
2023-08-18,444.7,448.11,433.01,436.5,398245456
2023-08-11,448.71,451.7,443.345,445.65,370204760
2023-08-04,457.41,458.16,446.27,446.81,376024611
2023-07-28,453.37,459.44,451.55,456.92,352473672
2023-07-21,449.13,456.43,449.08,452.18,341183617
2023-07-14,438.18,451.36,437.585,449.28,361072844
2023-07-07,442.92,444.08,437.06,438.55,258004290
2023-06-30,432.62,444.3,431.19,443.28,394119558
2023-06-23,437.45,438.37,432.47,433.21,315854322
2023-06-16,430.92,443.9,430.17,439.46,497237427
2023-06-09,428.28,431.99,425.82,429.9,362455718
2023-06-02,422.03,428.74,416.22,427.92,358857521
2023-05-26,418.64,420.77,409.8795,420.02,421134151
2023-05-19,412.22,420.72,410.23,418.62,400252347
2023-05-12,412.97,414.535,408.87,411.59,336048421
2023-05-05,415.47,417.62,403.74,412.63,440446161
2023-04-28,411.99,415.94,403.78,415.93,422820175
2023-04-21,412.37,415.72,410.17,412.2,333581642
2023-04-14,406.61,415.09,405.97,412.46,373375620
2023-04-06,408.85,411.92,405.678,409.19,262936219
2023-03-31,398.12,409.7,393.69,409.39,396282637
2023-03-24,390.8,402.49,389.4,395.75,523448057
2023-03-17,381.81,396.47,380.65,389.99,764846608
2023-03-10,405.05,407.45,384.32,385.91,557051492
2023-03-03,399.87,404.45,392.33,404.19,452114804
2023-02-24,403.06,404.16,393.64,396.38,370835029
2023-02-17,408.72,415.05,404.05,407.26,380677415
2023-02-10,409.79,416.49,405.01,408.04,376978106
2023-02-03,402.8,418.31,400.28,412.35,458864203
2023-01-27,396.72,408.16,393.56,405.68,369137564
2023-01-20,398.48,400.23,387.26,395.88,341074818
2023-01-13,390.37,399.1,386.27,398.5,362278876
2023-01-06,384.37,389.25,377.831,388.08,341944888
2022-12-30,382.79,384.35,376.42,382.43,273542782
2022-12-23,383.47,387.41,374.77,382.91,392450896
2022-12-16,394.11,410.49,381.04,383.27,544863559
2022-12-09,403.95,404.93,391.64,393.28,363375573
2022-12-02,399.09,410.0,393.3,406.91,426639342
2022-11-25,394.64,402.93,392.66,402.33,210479276
2022-11-18,396.66,402.31,390.14,396.03,401014777
2022-11-11,377.71,399.35,373.61,398.51,466719198
2022-11-04,386.44,390.39,368.79,376.35,499634509
2022-10-28,375.89,389.52,373.11,389.02,450644317
2022-10-21,364.01,375.45,357.2808,374.29,489399410
2022-10-14,363.96,370.26,348.11,357.63,516508880
2022-10-07,361.08,379.46,359.21,362.79,471547964
2022-09-30,366.41,372.3,357.04,357.18,578341093
2022-09-23,382.26,389.31,363.29,367.95,467112786
2022-09-16,408.78,411.73,382.11,385.56,467945749
2022-09-09,393.13,407.51,388.42,406.6,303290947
2022-09-02,402.2,405.84,390.04,392.24,404343512
2022-08-26,417.05,419.96,405.25,405.31,330007921
2022-08-19,424.765,431.73,421.22,422.14,293940821
2022-08-12,415.25,427.21,410.22,427.1,288807695
2022-08-05,409.15,415.68,406.82,413.47,303724947
2022-07-29,395.75,413.03,389.95,411.99,349890219
2022-07-22,388.38,400.18,380.66,395.09,350654555
2022-07-15,385.85,386.87,371.04,385.13,373575974
2022-07-08,375.88,390.64,372.9,388.67,288787893
2022-07-01,391.05,393.16,372.56,381.24,405723442
2022-06-24,371.89,390.09,370.18,390.08,344213753
2022-06-17,379.85,383.9,362.17,365.86,645270681
2022-06-10,414.78,416.609,389.75,389.8,400314857
2022-06-03,413.55,417.44,406.93,410.54,334006707
2022-05-27,392.83,415.3801,386.96,415.26,426273624
2022-05-20,399.98,408.57,380.54,389.63,509269611
2022-05-13,405.1,406.41,385.15,401.72,659709433
2022-05-06,412.07,429.66,405.02,411.34,724147593
2022-04-29,423.67,429.64,411.21,412.0,593265218
2022-04-22,436.81,450.01,425.44,426.04,425852611
2022-04-14,444.11,445.75,436.6501,437.79,346074018
2022-04-08,453.13,457.83,443.47,447.57,396609932
2022-04-01,452.06,462.07,449.14,452.92,445526972
2022-03-25,444.34,452.98,440.68,452.69,381101588
2022-03-18,420.89,444.86,415.79,444.52,552245965
2022-03-11,431.55,432.3018,415.12,420.07,609269001
2022-03-04,432.03,441.11,427.11,432.17,620712433
2022-02-25,431.89,437.84,410.64,437.75,590470539
2022-02-18,439.92,448.055,431.82,434.23,531431354
2022-02-11,449.51,457.88,438.94,440.46,551393133
2022-02-04,441.24,458.12,439.81,448.7,629246554
2022-01-28,432.03,444.04,420.76,441.95,921220809
2022-01-21,459.74,459.96,437.95,437.98,537444556
2022-01-14,462.7,473.2,456.5973,464.72,447364480
2022-01-07,476.3,479.98,464.65,466.09,420356344
2021-12-31,472.06,479.0,472.01,474.96,277532646
2021-12-23,454.48,472.19,451.14,470.6,292271050
2021-12-17,470.19,472.87,458.06,459.87,554093195
2021-12-10,456.13,470.9,453.56,470.74,405133322
2021-12-03,464.07,466.56,448.92,453.42,632283656
2021-11-26,470.89,473.54,457.77,458.97,320496941
2021-11-19,468.64,470.94,466.23,468.89,251637471
2021-11-12,469.7,470.23,462.04,467.27,255933870
2021-11-05,460.3,470.65,458.2,468.53,267062003
2021-10-29,454.28,459.56,452.39,459.25,295327988
2021-10-22,443.97,454.67,443.27,453.12,258932150
2021-10-15,437.16,446.26,431.54,445.87,345885462
2021-10-08,433.0,441.68,426.36,437.86,479279625
2021-10-01,442.81,444.05,427.23,434.24,543882712
2021-09-24,434.88,444.89,428.86,443.91,499812607
2021-09-17,448.64,448.92,441.02,441.4,436939783
2021-09-10,452.71,452.81,445.31,445.44,255772022
2021-09-03,450.97,454.05,450.71,453.08,246444177
2021-08-27,445.16,450.65,443.4355,450.25,269312148
2021-08-20,444.53,447.11,436.12,443.36,420777686
2021-08-13,442.46,445.94,441.31,445.92,206211782
2021-08-06,440.34,442.94,436.1,442.49,249469072
2021-07-30,439.31,441.8,435.99,438.51,278450184
2021-07-23,426.19,440.3,421.97,439.94,423964739
2021-07-16,435.43,437.92,430.92,431.34,300932269
2021-07-09,433.78,435.84,427.52,435.52,306093691
2021-07-02,427.17,434.1,425.89,433.72,265096649
2021-06-25,416.8,427.0943,415.93,426.61,283207558
2021-06-18,424.43,425.46,414.7,414.92,382743016
2021-06-11,422.59,424.63,420.32,424.31,243716628
2021-06-04,422.57,422.92,416.28,422.6,217391238
2021-05-28,417.34,421.25,417.08,420.04,267144557
2021-05-21,415.39,418.2,405.33,414.94,386007391
2021-05-14,422.5,422.74,404.0,416.58,522147059
2021-05-07,419.43,422.815,411.67,422.12,351735274
2021-04-30,417.44,420.72,416.3,417.3,318795661
2021-04-23,416.26,418.25,410.59,416.74,398002290
2021-04-16,410.85,417.91,410.2,417.26,317182914
2021-04-09,403.46,411.67,403.38,411.49,328509670
2021-04-01,394.4,400.67,392.81,400.61,396786965
2021-03-26,390.03,396.41,383.9,395.98,492591578
2021-03-19,394.33,398.12,387.15,389.48,474247664
2021-03-12,384.66,395.65,381.42,394.06,497580816
2021-03-05,385.59,390.92,371.88,383.63,640356985
2021-02-26,387.06,392.23,378.23,380.36,540478477
2021-02-19,393.96,394.17,387.74,390.03,245672988
2021-02-12,389.27,392.9,387.5,392.64,224377311
2021-02-05,373.72,388.47,370.376,387.71,286980796
2021-01-29,383.67,385.85,368.27,370.07,457381555
2021-01-22,378.34,384.95,376.75,382.88,213162102
2021-01-15,377.85,381.13,373.7,375.7,305069527
2021-01-08,375.31,381.49,364.82,381.26,425078734
2020-12-31,371.74,374.66,370.83,373.88,219589121
2020-12-24,364.97,378.46,362.03,369.0,217434462
2020-12-18,368.64,372.46,364.47,369.18,392369590
2020-12-11,369.02,371.05,363.26,366.3,280935407
2020-12-04,362.83,369.85,359.17,369.85,315941236
2020-11-27,357.28,364.18,354.865,363.67,198060573
2020-11-20,360.98,362.78,354.15,355.33,341596283
2020-11-13,363.97,364.38,350.51,358.1,447583265
2020-11-06,330.2,352.19,327.24,350.16,463334913
2020-10-30,342.13,342.98,322.6,326.54,495607791
2020-10-23,348.65,349.33,340.65,345.78,296595696
2020-10-16,349.59,354.02,343.13,347.29,361462322
2020-10-09,336.06,347.35,334.38,346.85,297612670
2020-10-02,333.22,338.74,331.19,333.84,398327201
2020-09-25,325.7,331.2,319.8,328.73,403925934
2020-09-18,337.49,343.06,327.97,330.65,398139085
2020-09-11,336.71,342.64,331.0,334.06,381177354
2020-09-04,350.35,358.75,334.87,342.57,477805953
2020-08-28,342.12,350.72,339.4504,350.58,244465362
2020-08-21,337.94,339.72,335.22,339.48,238598608
2020-08-14,335.06,338.28,332.01,336.84,256785840
2020-08-07,328.32,334.88,327.73,334.57,238849912
2020-07-31,321.63,326.63,319.64,326.52,301314577
2020-07-24,321.43,327.23,319.246,320.88,320693046
2020-07-17,320.13,323.04,312.0,321.72,401117686
2020-07-10,316.37,317.88,310.68,317.59,338468794
2020-07-02,301.41,315.7,298.93,312.23,333726878
2020-06-26,307.99,314.5,299.42,300.05,490919328
2020-06-19,298.02,315.64,296.74,308.64,570398924
2020-06-12,320.22,323.41,298.6,304.21,647165283
2020-06-05,303.62,321.27,303.06,319.34,446855391
2020-05-29,301.93,306.84,295.46,304.32,401990665
2020-05-22,293.05,297.87,291.95,295.44,440877962
2020-05-15,290.34,294.24,272.99,286.28,549992076
2020-05-08,280.74,292.95,279.13,292.44,383876931
2020-05-01,285.12,294.88,281.52,282.79,546963684
2020-04-24,282.61,286.79,272.02,282.97,506655211
2020-04-17,277.14,287.3,271.41,286.64,641620261
2020-04-09,257.84,281.2,248.17,278.2,728498717
2020-04-03,255.7,263.33,243.9,248.19,864147042
2020-03-27,228.19,262.8,218.26,253.42,1334107144
2020-03-20,241.18,256.9,228.02,228.8,1512832294
2020-03-13,275.3,288.52,247.68,269.32,1551233497
2020-03-06,298.21,313.84,290.23,297.46,1125972614
2020-02-28,323.14,333.56,285.54,296.26,1238830271
2020-02-21,336.51,339.08,332.58,333.48,293330620
2020-02-14,331.23,338.12,331.19,337.6,257953060
2020-02-07,323.35,334.19,323.22,332.2,309558055
2020-01-31,323.03,328.63,320.73,321.73,389876253
2020-01-24,330.9,332.95,327.36,328.77,265623236
2020-01-17,326.39,332.18,325.92,331.95,331248745
2020-01-10,320.49,327.46,320.36,325.71,265686067
2020-01-03,322.95,324.89,320.15,322.41,243457887
2019-12-27,321.59,323.8,320.9,322.86,146628680
2019-12-20,319.22,321.97,317.25,320.73,426971078
2019-12-13,314.44,318.67,312.81,317.32,311812271
2019-12-06,314.59,315.31,307.13,314.87,289095811
2019-11-29,311.98,315.48,311.98,314.31,166974740
2019-11-22,311.53,312.69,309.06,310.96,295356140
2019-11-15,307.42,311.84,307.27,311.79,249318377
2019-11-08,307.85,309.65,306.06,308.94,252325836
2019-11-01,302.94,306.19,301.73,306.14,273945786
2019-10-25,299.42,302.2,298.5,301.6,204108233
2019-10-18,295.93,300.24,295.57,297.97,249854027
2019-10-11,293.47,298.74,288.49,296.28,381818226
2019-10-04,295.97,298.46,284.82,294.35,418528028
2019-09-27,297.55,299.84,293.69,295.4,360912367
2019-09-20,299.84,302.63,297.41,298.28,349452658
2019-09-13,299.14,302.46,295.97,301.09,311392980
2019-09-06,290.57,298.83,289.27,298.05,248600633
2019-08-30,287.27,294.24,285.25,292.45,320605162
2019-08-23,292.19,293.93,283.47,284.85,356073778
2019-08-16,289.96,294.15,282.39,288.85,480799656
2019-08-09,288.09,293.62,281.72,291.62,621473258
2019-08-02,301.88,302.01,290.9,292.62,447616940
2019-07-26,297.61,302.23,297.04,302.01,236036760
2019-07-19,301.13,301.13,296.7,297.17,241363593
